"","...1","Species","Family","Relative.Growth.Rate","Mean.absolute.growth.rate","SD.growth.rate","SLA","LA","LDMC","LNC","LPC","WD","Height","Number.of.stems","Median.height","Category"
"16",16,"Casearia obliqua","Salicaceae",0.241581988866006,1.7,1.8,157.6233736,9.11311333299997,422.6728482,2.76,0.15,0.672384863181818,24,207,8.3,"Understory"
"17",17,"Casearia sylvestris","Salicaceae",0.245591217475154,2.1,2.1,125.238279,17.10479939,398.153279,2.28,0.14,0.625652842,24,108,9.4,"Understory"
"18",18,"Cedrela fissilis","Meliaceae",0.455712860756053,3.8,4.2,193.0695858,45.4222777800001,329.8324232,3.02,0.3,0.34495821725,25,44,12.8,"Canopy"
"19",19,"Chrysophyllum inornatum","Sapotaceae",0.187930446372726,1.5,1.4,96.27658224,13.5878888899999,389.7702244,1.56,0.12,0.588530728,15,23,10,"Canopy"
"20",20,"Chrysophyllum marginatum","Sapotaceae",0.185531736578901,1.6,1.8,116.0583568,5.99563486999997,392.161278,1.5,0.12,0.571163408,22,16,17,"Canopy"
"21",21,"Cinnamodendron dinisii","Canellaceae",0.223116557143721,1.1,1.4,92.75682561,16.29191831,446.4023785,1.7,0.13,0.527503505714286,15,46,6,"Understory"
"22",22,"Citronella gongonha","Cardiopteridaceae",0.303829508266603,2.3,1.9,72.01471953,15.96750333,453.5419336,1.1,0.08,0.633680198090909,13,29,7.8,"Understory"
"23",23,"Citronella paniculata","Cardiopteridaceae",0.331947685695784,2.7,1.6,61.62507941,33.3316983300001,398.4313454,1.3,0.06,0.704482179,18,13,9,"Understory"
"24",24,"Clethra scabra","Clethraceae",0.277382710557319,3.4,3,59.32547869,20.0221009300001,411.1892821,1.73,0.09,0.3743251,17,46,9,"Understory"
"25",25,"Cordia americana","Cordiaceae",0.184780490727208,2.1,2.1,146.9610872,8.66538424799999,402.3298523,5.2,0.16,0.560674917,23,16,14,"Canopy"
"26",26,"Coussarea contracta","Rubiaceae",0.189717482283084,1.7,1.2,143.7379532,24.1491947699999,268.153798,2.7,0.12,0.47153937,15,140,8,"Understory"
"27",27,"Cupania vernalis","Sapindaceae",0.324734611898421,1.7,2.1,110.7985277,24.33575197,418.1016278,1.72,0.19,0.616479664339286,25,309,10,"Canopy"
